2026-05-12 21:07:22.178 | INFO     | __main__       | run_pipeline:37 | Pipeline started     | [source: gps, gtfs]
2026-05-12 21:07:22.182 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-12 21:07:22.835 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: C:\Projects\stuff_25\learn\python\data_pipeline\data\raw\source=gps\date=2026-05-12\gps_20260512_210722.csv] | [size_mb: 0.02]
2026-05-12 21:07:22.839 | INFO     | GTFSIngestor   | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/data/gtfs.zip]
2026-05-12 21:07:23.825 | INFO     | GTFSIngestor   | run         :88 | Ingestion completed  | [saved_to: C:\Projects\stuff_25\learn\python\data_pipeline\data\raw\source=gtfs\date=2026-05-12\gtfs_20260512.zip] | [size_mb: 2.52]
2026-05-12 21:07:23.826 | INFO     | __main__       | run_pipeline:49 | Pipeline finished    | [source: gps, gtfs]
2026-05-12 21:19:40.184 | INFO     | __main__       | run_daemon  :64 | Daemon started. Press Ctrl+C to stop.
2026-05-12 21:23:51.847 | INFO     | __main__       | run_daemon  :64 | Daemon started. Press Ctrl+C to stop.
2026-05-12 21:23:51.848 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-12 21:23:51.860 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-12 21:23:51.991 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-12/gps_20260512_212351.csv] | [size_mb: 0.02]
2026-05-12 21:23:51.992 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gtfs]
2026-05-12 21:23:52.007 | INFO     | GTFSIngestor   | run         :73 | Ingestion skipped: File already exists | [source: gtfs] | [path: data/raw/source=gtfs/date=2026-05-12/gtfs_20260512.zip]
2026-05-12 21:24:22.014 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-12 21:24:22.029 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-12 21:24:22.128 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-12/gps_20260512_212422.csv] | [size_mb: 0.02]
2026-05-12 21:24:52.136 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-12 21:24:52.150 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-12 21:24:52.255 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-12/gps_20260512_212452.csv] | [size_mb: 0.02]
2026-05-12 21:25:22.261 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-12 21:25:22.275 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-12 21:25:22.418 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-12/gps_20260512_212522.csv] | [size_mb: 0.02]
2026-05-12 21:25:34.660 | INFO     | __main__       | run_daemon  :64 | Daemon started. Press Ctrl+C to stop.
2026-05-13 00:55:09.220 | INFO     | __main__       | run_daemon  :64 | Daemon started. Press Ctrl+C to stop.
2026-05-13 04:00:00.475 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gtfs]
2026-05-13 04:00:00.501 | INFO     | GTFSIngestor   | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/data/gtfs.zip]
2026-05-13 04:00:01.051 | INFO     | GTFSIngestor   | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gtfs/date=2026-05-13/gtfs_20260513.zip] | [size_mb: 2.52]
2026-05-13 07:00:00.934 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:00:00.947 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:00:01.097 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070001.csv] | [size_mb: 0.02]
2026-05-13 07:00:31.105 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:00:31.118 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:00:31.204 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070031.csv] | [size_mb: 0.02]
2026-05-13 07:01:01.211 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:01:01.222 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:01:01.300 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070101.csv] | [size_mb: 0.02]
2026-05-13 07:01:31.310 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:01:31.323 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:01:31.401 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070131.csv] | [size_mb: 0.02]
2026-05-13 07:02:01.408 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:02:01.418 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:02:01.503 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070201.csv] | [size_mb: 0.02]
2026-05-13 07:02:31.513 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
2026-05-13 07:02:31.525 | INFO     | GPSIngestor    | run         :82 | Ingestion started    | [url: https://transport.tallinn.ee/readfile.php?name=gps.txt]
2026-05-13 07:02:31.601 | INFO     | GPSIngestor    | run         :88 | Ingestion completed  | [saved_to: /app/data/raw/source=gps/date=2026-05-13/gps_20260513_070231.csv] | [size_mb: 0.02]
2026-05-13 07:03:01.607 | INFO     | __main__       | run_daemon  :88 | Scheduled trigger    | [source: gps]
